since_timestamp_local_tz,UniqueHosts,LocationID
2020-05-26,504,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-27,499,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-28,456,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-29,356,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-30,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-31,2,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-01,505,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-02,570,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-03,555,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-04,469,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-05,341,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-06,2,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-07,2,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-08,518,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-09,545,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-10,517,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-11,460,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-12,358,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-13,3,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-14,6,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-15,471,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-16,516,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-06-17,517,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
